id,name,attribute,level,type,atk,def,passcode
12756,Crystron Sulfefnir,WATER,5,Machine,2000,1500,3422200
12757,Shinobird Crow,WIND,4,Winged Beast,0,0,39817919
12758,Shinobird Crane,WIND,4,Winged Beast,1500,1500,66815913
12759,Shinobird Pigeon,WIND,4,Winged Beast,1000,1800,92200612
12760,Envoy of Chaos,DARK,4,Warrior,1500,0,38695361
12761,Spiritual Beast Tamer Winda,WIND,4,Psychic,1600,1800,65193366
12762,"Tierra, Source of Destruction",LIGHT,11,Fiend,3400,3600,91588074
12763,Miscellaneousaurus,FIRE,4,Dinosaur,1800,1000,38572779
12764,Apprentice Piper,DARK,2,Spellcaster,100,1500,64977888
12765,"Hebo, Lord of the River",WATER,4,Aqua,1800,600,90365482
12766,Yokotuner,EARTH,1,Beast,800,600,27750191
12767,Eater of Millions,DARK,1,Fiend,-1,-1,63845230
12768,Wightprincess,LIGHT,3,Zombie,1600,0,90243945
12769,Metrognome,EARTH,4,Fairy,1800,1600,26638543
12770,Fairy Tail - Rella,LIGHT,4,Spellcaster,1850,1000,52022648
12771,Cyber Angel Natasha,LIGHT,5,Fairy,1000,1000,99427357
12772,Shinobaroness Peacock,WIND,8,Winged Beast,2500,3000,25415052
12773,Shinobaron Peacock,WIND,8,Winged Beast,3000,2500,52900000
12817,Apprentice Illusion Magician,DARK,6,Spellcaster,2000,1700,30603688
12820,Subterror Nemesis Archer,EARTH,3,Fairy,1600,1400,39581190
12821,Subterror Behemoth Stygokraken,EARTH,5,Sea Serpent,1400,2600,65976795
12822,Subterror Behemoth Ultramafus,EARTH,12,Pyro,3000,1800,92970404
12824,Charming Resort Staff,LIGHT,3,Fairy,300,200,64753157
12825,SPYRAL Master Plan,DARK,7,Spellcaster,1200,2800,91258852
12829,Speedroid Passinglider,WIND,5,Machine,2200,2000,26420373
12830,Predaplant Sarraceniant,DARK,1,Plant,100,600,53819028
12831,Predaplant Drosophyllum Hydra,DARK,5,Plant,800,2300,99913726
12832,Predaplant Pterapenthes,DARK,3,Plant,300,2100,26308721
12833,Predaplant Spinodionaea,DARK,4,Plant,1800,0,52792430
12834,Predaplant Chlamydosundew,DARK,2,Plant,600,200,89181134
12840,Fluffal Octopus,WATER,1,Fairy,800,800,87246309
12841,Fluffal Penguin,WATER,4,Fairy,1600,1100,13241004
12843,Aleister the Invoker,DARK,4,Spellcaster,1000,1800,86120752
12855,Harmonizing Magician,DARK,4,Spellcaster,0,0,73941492
12860,Lunalight Kaleido Chick,DARK,4,Beast-Warrior,1400,800,35618217
12861,Windwitch - Glass Bell,WIND,4,Spellcaster,1500,1500,71007216
12863,Superheavy Samurai Wagon,EARTH,4,Machine,1200,1800,34496660
12865,Abyss Actor - Twinkle Little Star,DARK,4,Fiend,1000,1000,7279373
12873,Subterror Nemesis Defender,EARTH,2,Beast-Warrior,100,2000,68823957
12874,Subterror Behemoth Dragossuary,EARTH,6,Zombie,2400,1600,95218695
12875,Subterror Behemoth Voltelluric,EARTH,9,Thunder,1900,3000,21607304
12877,SPYGAL Misty,DARK,4,Spellcaster,1500,1600,94096018
12878,SPYRAL Tough,WIND,4,Warrior,1900,1500,20584712
12881,Performapal Ballad,EARTH,3,Plant,500,1100,66768175
12882,Performapal Barracuda,EARTH,3,Plant,500,1100,92767273
12883,Speedroid Dominobutterfly,WIND,2,Machine,100,300,28151978
12889,Brohunder,LIGHT,4,Thunder,900,400,27217742
12893,Wandering King Wildwind,DARK,4,Fiend,1700,1300,52589809
12896,Gozuki,EARTH,4,Zombie,1700,800,52467217
12899,Diabound Kernel,DARK,5,Fiend,1800,1200,51644030
12901,Elemental HERO Honest Neos,LIGHT,7,Warrior,2500,2000,14124483
12903,Dark Summoning Beast,DARK,5,Fiend,0,0,87917187
12906,Astrograph Sorcerer,DARK,7,Spellcaster,2500,2000,76794549
12907,Chronograph Sorcerer,DARK,6,Spellcaster,2000,1700,12289247
12908,Double Iris Magician,DARK,4,Spellcaster,1500,1000,49684352
12909,Black Fang Magician,DARK,4,Spellcaster,1700,800,75672051
12910,White Wing Magician,WIND,4,Spellcaster,1600,1400,11067666
12911,Purple Poison Magician,DARK,4,Spellcaster,1200,2100,48461764
12915,Performapal Sky Magician,WIND,7,Spellcaster,2500,2000,73734821
12916,Performapal Sky Pupil,LIGHT,3,Spellcaster,800,800,122520
12917,Performapal Revue Dancer,LIGHT,3,Spellcaster,800,1000,36527535
12918,Performapal U Go Golem,DARK,4,Fiend,1600,1000,73511233
12919,Performapal Coin Dragon,WATER,4,Dragon,1700,1000,9000988
12920,Speedroid Skull Marbles,WIND,7,Machine,0,3000,35494087
12921,Speedroid Maliciousmagnet,WIND,1,Machine,0,0,62899696
12922,Speedroid Rubberband Plane,WIND,5,Machine,1800,0,8284390
12923,Predaplant Ophrys Scorpio,DARK,3,Plant,1200,800,35272499
12924,Predaplant Darlingtonia Cobra,DARK,3,Plant,1000,1500,61677004
12925,Predaplant Cordyceps,DARK,1,Plant,0,0,7161742
12926,Lyrilusc - Cobalt Sparrow,WIND,1,Winged Beast,0,100,34550857
12927,Lyrilusc - Sapphire Swallow,WIND,1,Winged Beast,100,0,60954556
12928,Lyrilusc - Turquoise Warbler,WIND,1,Winged Beast,100,100,97949165
12929,D/D Ghost,DARK,2,Fiend,600,300,33334269
12930,Double Resonator,FIRE,1,Fiend,0,0,60832978
12931,Supreme King Gate Zero,DARK,7,Fiend,0,0,96227613
12932,Supreme King Gate Infinity,DARK,7,Fiend,0,0,22211622
12933,Supreme King Dragon Darkwurm,DARK,4,Dragon,1800,1200,69610326
12934,"Majesty Maiden, the True Dracocaster",WIND,5,Wyrm,2300,1500,95004025
12935,"Ignis Heat, the True Dracowarrior",FIRE,5,Wyrm,2400,1000,22499034
12936,"Dinomight Knight, the True Dracofighter",WATER,6,Wyrm,2500,1200,58984738
12937,"Dreiath III, the True Dracocavalry General",EARTH,6,Wyrm,2100,2800,94982447
12938,"Master Peace, the True Dracoslaying King",LIGHT,8,Wyrm,2950,2950,21377582
12939,"Metaltron XII, the True Dracombatant",LIGHT,9,Wyrm,3000,3000,57761191
12940,"Mariamne, the True Dracophoenix",WIND,9,Wyrm,2700,2100,94160895
12941,Zoodiac Kataroost,EARTH,4,Beast-Warrior,800,1200,20155904
12942,Phantasm Spiral Dragon,WATER,8,Wyrm,2900,2900,56649609
12943,Digital Bug LEDybug,LIGHT,3,Insect,500,0,83048208
12944,Zefraath,EARTH,11,Rock,3450,2950,29432356
12945,"Ariel, Priestess of the Nekroz",WATER,4,Psychic,1000,1800,56827051
12946,B.E.S. Big Core MK-3,LIGHT,8,Machine,2700,1900,82821760
12947,Pendulumucho,EARTH,1,Winged Beast,0,0,18210764
12948,Baobaboon,DARK,3,Plant,1200,1000,55705473
12949,Fire Cracker,FIRE,4,Fiend,1700,200,81109178
12950,Ash Blossom & Joyous Spring,FIRE,3,Zombie,0,1800,14558127
12951,Familiar-Possessed - Lyna,LIGHT,4,Spellcaster,1850,1500,40542825
12952,Fairy Tail - Luna,LIGHT,4,Spellcaster,1850,1000,86937530
12997,Ancient Gear Golem - Ultimate Pound,EARTH,8,Machine,3000,3000,95735217
12999,Clear Effector,LIGHT,2,Spellcaster,0,900,58518520
13009,Petiteranodon,EARTH,2,Dinosaur,500,500,82946847
13010,Ultimate Conductor Tyranno,LIGHT,10,Dinosaur,3500,3200,18940556
13011,Souleating Oviraptor,DARK,4,Dinosaur,1800,500,44335251
13012,Megalosmasher X,WATER,4,Dinosaur,2000,0,81823360
13021,Subterror Fiendess,EARTH,1,Spellcaster,800,500,74762582
13022,Subterror Behemoth Phospheroglacier,EARTH,8,Aqua,2600,2500,1151281
13023,Subterror Behemoth Speleogeist,EARTH,11,Fiend,3000,1400,47556396
13025,SPYRAL Sleeper,LIGHT,8,Fiend,2800,1200,35699
13026,SPYRAL GEAR - Last Resort,EARTH,4,Machine,1000,1000,37433748
13029,Bitron,EARTH,2,Cyberse,200,2000,36211150
13030,Draconnet,DARK,3,Cyberse,1400,1200,62706865
13031,RAM Clouder,LIGHT,4,Cyberse,1800,1000,9190563
13032,Linkslayer,EARTH,5,Cyberse,2000,600,35595518
13037,Performapal Card Gardna,EARTH,3,Rock,1000,1000,37256334
13038,Edge Imp Cotton Eater,DARK,7,Fiend,2400,1600,73240432
13039,Cyberse Gadget,LIGHT,4,Cyberse,1400,300,645087
13040,Cyberse Wizard,LIGHT,4,Cyberse,1800,800,36033786
13041,Backup Secretary,LIGHT,3,Cyberse,1200,800,63528891
13042,Stack Reviver,DARK,2,Cyberse,100,600,9523599
13043,Launcher Commander,EARTH,4,Cyberse,1700,1200,35911108
13044,Salvagent Driver,LIGHT,6,Cyberse,2200,2100,62306203
13045,Trickstar Lilybell,LIGHT,2,Fairy,800,2000,98700941
13046,Trickstar Lycoris,LIGHT,3,Fairy,1600,1200,35199656
13047,Trickstar Candina,LIGHT,4,Fairy,1800,400,61283655
13048,Gouki Twistcobra,EARTH,3,Warrior,1600,0,97688360
13049,Gouki Suprex,EARTH,4,Warrior,1800,0,24073068
13050,Gouki Riscorpio,EARTH,5,Warrior,2300,0,60461077
13051,Hack Worm,DARK,1,Machine,400,0,97466712
13052,Jack Wyvern,DARK,4,Machine,1800,0,23850421
13053,Cracking Dragon,DARK,8,Machine,3000,0,60349525
13054,Supreme King Dragon Odd-Eyes,DARK,8,Dragon,2500,2000,96733134
13055,Predaplant Banksiogre,DARK,6,Plant,2000,100,22138839
13056,D/D Vice Typhon,DARK,7,Fiend,2300,2800,59123937
13057,Crowned by the World Chalice,WATER,2,Spellcaster,0,2100,95511642
13058,Chosen by the World Chalice,FIRE,3,Psychic,1600,0,22916281
13059,Beckoned by the World Chalice,EARTH,4,Warrior,1800,0,58400390
13060,World Chalice Guardragon,WIND,1,Dragon,400,400,84899094
13061,Lee the World Chalice Fairy,LIGHT,2,Fairy,100,2000,21893603
13062,"World Legacy - ""World Chalice""",DARK,5,Machine,0,0,57288708
13063,"Jain, Twilightsworn General",DARK,4,Warrior,1800,1200,84673417
13064,"Lyla, Twilightsworn Enchantress",DARK,4,Spellcaster,1700,200,10071151
13065,"Lumina, Twilightsworn Shaman",DARK,3,Spellcaster,1000,1000,56166150
13066,"Ryko, Twilightsworn Fighter",DARK,2,Beast,200,100,83550869
13067,Punishment Dragon,DARK,8,Dragon,3000,2600,19959563
13068,Rescue Ferret,EARTH,4,Beast,300,100,56343672
13069,Traptrix Mantis,EARTH,4,Insect,1500,1300,82738277
13070,Motivating Captain,EARTH,1,Warrior,400,1200,18837926
13071,Treasure Panda,EARTH,4,Beast,1100,2000,45221020
13072,Zombina,EARTH,4,Zombie,1400,1500,81616639
13073,Re: EX,LIGHT,4,Dinosaur,1900,1200,18000338
13074,Orbital Hydralander,DARK,8,Machine,3000,1500,44009443
13075,The Ascended of Thunder,LIGHT,7,Thunder,2700,2400,70493141
13076,Parry Knights,EARTH,6,Warrior,2300,2100,17988746
13121,D/D/D Destiny King Zero Laplace,DARK,10,Fiend,-1,0,21686473
13126,Odd-Eyes Lancer Dragon,LIGHT,8,Dragon,3000,2000,83347294
13127,Performapal Odd-Eyes Minitaurus,DARK,4,Beast-Warrior,1200,1600,10731333
13128,Performapal Odd-Eyes Dissolver,DARK,8,Spellcaster,2000,2600,46136942
13129,Performapal Odd-Eyes Synchron,DARK,2,Spellcaster,200,600,82224646
13130,Performapal Five-Rainbow Magician,LIGHT,1,Spellcaster,100,100,19619755
13134,Superheavy Samurai Helper,EARTH,1,Machine,0,0,44891812
13135,Superheavy Samurai Fist,EARTH,2,Machine,900,900,71386411
13137,Abyss Actor - Curtain Raiser,DARK,4,Fiend,1100,1000,44179224
13139,Raidraptor - Rudder Strix,DARK,4,Winged Beast,0,1600,6552938
13141,Twilight Ninja Jogen,DARK,7,Warrior,2000,1000,79441381
13142,Twilight Ninja Kagen,DARK,1,Warrior,0,2000,6830480
13143,White Moray,WATER,2,Fish,600,200,32825095
13146,Amazoness Spy,EARTH,3,Warrior,800,1200,31102447
13150,Gladiator Beast Noxious,DARK,5,Beast-Warrior,0,1000,67385964
13153,Destiny HERO - Dreamer,DARK,1,Warrior,0,600,66262416
13157,"Lazion, the Timelord",FIRE,10,Fairy,0,0,92435533
13158,"Zaphion, the Timelord",WATER,10,Fairy,0,0,28929131
13159,"Sadion, the Timelord",WIND,10,Fairy,0,0,65314286
13160,"Kamion, the Timelord",EARTH,10,Fairy,0,0,91712985
13161,Time Maiden,LIGHT,1,Fairy,0,0,27107590
13168,Red-Eyes Baby Dragon,DARK,3,Dragon,1200,700,58257569
13169,Gearfried the Red-Eyes Iron Knight,DARK,4,Warrior,1800,1600,85651167
13172,Amazoness Princess,EARTH,3,Warrior,1200,900,84539520
13173,Amazoness Baby Tiger,EARTH,2,Beast,500,500,10928224
13176,The Legendary Fisherman II,WATER,5,Warrior,2200,1800,19801646
13177,Citadel Whale,WATER,7,Fish,2350,2150,46290741
13180,Cyberdark Cannon,DARK,3,Dragon,1600,800,45078193
13181,Cyberdark Claw,DARK,3,Dragon,1600,800,82562802
13184,Mixeroid,WIND,4,Machine,0,2200,71340250
13188,Water Dragon Cluster,WATER,10,Sea Serpent,2800,2600,6022371
13189,Duoterion,WATER,5,Dinosaur,2000,1400,43017476
13192,Digitron,EARTH,2,Cyberse,1500,0,32295838
13193,Dotscaper,EARTH,1,Cyberse,0,2100,18789533
13194,Cliant,LIGHT,3,Cyberse,1500,1500,45778242
13195,Backlinker,DARK,3,Cyberse,1600,0,71172240
13196,Balancer Lord,LIGHT,4,Cyberse,1700,1200,8567955
13197,ROM Cloudia,DARK,4,Cyberse,1800,0,44956694
13198,Boot Staggered,LIGHT,5,Cyberse,2300,500,70950698
13199,Dual Assembwurm,DARK,8,Cyberse,2800,1000,7445307
13207,Samurai Skull,DARK,4,Zombie,1700,0,68989981
13208,Revendread Slayer,DARK,6,Zombie,2400,0,4388680
13209,Vendread Revenants,DARK,4,Zombie,1800,200,31772684
13210,Vendread Houndhorde,DARK,3,Zombie,0,2100,67267333
13213,F.A. Sonic Meister,WIND,4,Machine,0,1000,67045745
13214,F.A. Hang On Mach,WIND,4,Machine,0,1800,93449450
13217,Defect Compiler,LIGHT,3,Cyberse,1000,1000,92327802
13218,Capacitor Stalker,LIGHT,5,Cyberse,2000,1000,29716911
13219,Link Infra-Flier,WIND,2,Cyberse,0,1800,65100616
13220,Trickstar Narkissus,LIGHT,4,Fairy,1000,1800,91505214
13221,Dark Angel,DARK,5,Fairy,0,0,28593329
13222,Gouki Headbatt,EARTH,2,Warrior,800,0,54088068
13223,Gateway Dragon,DARK,4,Dragon,1600,1400,91482773
13224,Sniffer Dragon,DARK,2,Dragon,800,400,27877771
13225,Anesthrokket Dragon,DARK,1,Dragon,0,2200,53266486
13226,Autorokket Dragon,DARK,3,Dragon,1600,1000,80250185
13227,Magnarokket Dragon,DARK,4,Dragon,1800,1200,26655293
13228,Altergeist Marionetter,LIGHT,4,Spellcaster,1600,1700,53143898
13229,Altergeist Silquitous,WIND,2,Spellcaster,800,1500,89538537
13230,Altergeist Meluseek,WATER,1,Spellcaster,500,300,25533642
13231,Altergeist Kunquery,EARTH,5,Spellcaster,0,2400,52927340
13232,Krawler Spine,EARTH,2,Insect,300,2100,88316955
13233,Krawler Axon,EARTH,2,Insect,500,1800,15710054
13234,Krawler Glial,EARTH,2,Insect,700,1500,51205763
13235,Krawler Receptor,EARTH,2,Insect,900,1200,83293307
13236,Krawler Ranvier,EARTH,2,Insect,1100,900,10698416
13237,Krawler Dendrite,EARTH,2,Insect,1300,600,46083111
13238,"World Legacy - ""World Armor""",DARK,7,Machine,2500,2500,83477829
13239,Metaphys Ragnarok,LIGHT,4,Wyrm,1500,1000,19476824
13240,Metaphys Daedalus,LIGHT,7,Wyrm,2600,1500,45960523
13241,Metaphys Nephthys,LIGHT,8,Wyrm,2400,1600,72355272
13242,Metaphys Tyrant Dragon,LIGHT,8,Wyrm,2900,2500,18743376
13243,Metaphys Executor,LIGHT,10,Wyrm,3000,2500,45148985
13244,Mermail Abyssnerei,WATER,3,Aqua,1200,2000,71133680
13245,Fire King Avatar Arvata,FIRE,4,Beast-Warrior,1800,200,18621798
13246,Mecha Phantom Beast Raiten,WIND,4,Machine,1500,1500,44026393
13247,The Accumulator,LIGHT,1,Thunder,0,0,70410002
13248,Soldier Dragons,EARTH,2,Dragon,700,800,7805147
13249,Duck Dummy,WATER,1,Winged Beast,0,0,43803845
13250,Leng Ling,DARK,3,Dragon,1500,0,70298454
13251,Self-Destruct Ant,EARTH,3,Insect,1500,1000,6783559
13252,Amano-Iwato,EARTH,4,Rock,1900,1200,32181268
13253,Fantastic Striborg,WIND,5,Machine,2200,2200,79176962
13254,Destrudo the Lost Dragon's Frisson,DARK,7,Dragon,1000,3000,5560911
13255,Elemental Grace Doriado,LIGHT,9,Spellcaster,0,0,32965616
13256,Nimble Beaver,WATER,2,Beast,400,100,68353324
13257,Muscle Medic,WATER,4,Warrior,2200,100,4848423
13303,White Stingray,WATER,4,Fish,1400,1000,49930315
13304,D/D/D Supersight King Zero Maxwell,DARK,7,Fiend,2800,2500,76029419
13305,Interrupt Resistor,LIGHT,6,Cyberse,0,2100,2414168
13307,Secret Six Samurai - Fuma,WIND,1,Warrior,200,1800,71207871
13308,Secret Six Samurai - Genba,FIRE,2,Warrior,500,2100,7291576
13309,Secret Six Samurai - Hatsume,WATER,3,Warrior,1600,1500,44686185
13310,Secret Six Samurai - Doji,DARK,4,Warrior,1700,1200,70180284
13311,Secret Six Samurai - Kizaru,EARTH,4,Warrior,1900,1000,6579928
13315,Magical Musketeer Caspar,LIGHT,3,Fiend,1200,2000,32841045
13316,Magical Musketeer Doc,LIGHT,3,Fiend,1400,1200,68246154
13317,Magical Musketeer Kidbrave,LIGHT,3,Fiend,1600,200,5230799
13318,Magical Musketeer Starfire,LIGHT,4,Fiend,1300,1700,31629407
13319,Magical Musketeer Calamity,LIGHT,4,Fiend,1500,1300,68024506
13320,Magical Musketeer Wild,LIGHT,4,Fiend,1700,900,94418111
13321,Magical Musket Mastermind Zakiel,LIGHT,8,Fiend,2500,2500,30907810
13328,The Weather Painter Snow,EARTH,3,Fairy,0,2200,65017789
13329,The Weather Painter Rain,WATER,3,Fairy,1200,1400,92411493
13330,The Weather Painter Cloud,WIND,3,Fairy,1500,1000,28806532
13331,The Weather Painter Sun,FIRE,3,Fairy,1600,400,54895237
13332,The Weather Painter Thunder,LIGHT,3,Fairy,1700,0,91299846
13333,The Weather Painter Aurora,DARK,6,Fairy,2200,2000,27784944
13345,Cyberse Converter,LIGHT,2,Cyberse,1000,1000,14505685
13349,Eva,LIGHT,1,Fairy,500,200,40177746
13350,Sacred Arch-Airknight Parshath,LIGHT,9,Fairy,2800,2300,16261341
13351,"Minerva, Scholar of the Sky",LIGHT,4,Fairy,1700,400,53666449
13352,Power Angel Valkyria,LIGHT,4,Fairy,1800,1050,89055154
13356,Legendary Secret of the Six Samurai,DARK,4,Warrior,500,2000,15327215
13359,Odd-Eyes Arc Pendulum Dragon,DARK,7,Dragon,2700,2000,14105623
13361,Hallohallo,DARK,3,Fiend,800,600,77994337
13362,Vendread Chimera,DARK,5,Zombie,2300,0,13482075
13363,Vendread Striges,DARK,2,Zombie,500,2000,49477180
13366,F.A. Whip Crosser,WIND,4,Machine,0,1000,49655592
13367,F.A. Turbo Charger,WIND,6,Machine,0,1500,75059201
13372,Lockout Gardna,EARTH,3,Cyberse,1000,1000,37310367
13373,Striping Partner,LIGHT,4,Cyberse,1200,1600,74715061
13374,Flick Clown,DARK,4,Cyberse,1000,1400,209710
13375,Bitrooper,EARTH,4,Cyberse,1500,2000,36694815
13376,Linkbelt Wall Dragon,EARTH,6,Dragon,0,2100,63092423
13377,Shelrokket Dragon,DARK,2,Dragon,1100,2000,5087128
13378,Metalrokket Dragon,DARK,4,Dragon,1700,1400,32472237
13379,Tindangle Angel,DARK,4,Fiend,500,1800,68860936
13380,Tindangle Base Gardna,DARK,5,Fiend,0,2300,94365540
13381,Tindangle Hound,DARK,7,Fiend,2500,0,31759689
13382,Tindangle Protector,DARK,3,Fiend,800,1600,67744384
13383,Tindangle Intruder,DARK,6,Fiend,2200,0,94142993
13384,Mekk-Knight Blue Sky,LIGHT,5,Psychic,2000,2500,20537097
13385,Mekk-Knight Green Horizon,LIGHT,6,Psychic,2100,1600,66022706
13386,Mekk-Knight Orange Sunset,LIGHT,6,Psychic,800,3000,93020401
13387,Mekk-Knight Yellow Star,LIGHT,7,Psychic,2200,2800,29415459
13388,Mekk-Knight Red Moon,LIGHT,7,Psychic,2300,2600,56809158
13389,Mekk-Knight Indigo Eclipse,LIGHT,8,Psychic,2400,2400,92204263
13390,Mekk-Knight Purple Nightfall,LIGHT,8,Psychic,2500,2000,28692962
13391,"World Legacy - ""World Shield""",DARK,6,Machine,0,3000,55787576
13392,Mythical Beast Jackal,DARK,1,Spellcaster,0,1400,91182675
13393,Mythical Beast Garuda,LIGHT,4,Spellcaster,1200,1600,28570310
13394,Mythical Beast Medusa,LIGHT,4,Spellcaster,1500,1500,54965929
13395,Mythical Beast Bashilisk,LIGHT,4,Spellcaster,1800,500,80959027
13396,Mythical Beast Jackal King,DARK,6,Spellcaster,2400,1400,27354732
13397,Mythical Beast Master Cerberus,LIGHT,8,Spellcaster,2800,2800,53842431
13398,Artifact Mjollnir,LIGHT,5,Fairy,1300,1800,80237445
13399,Grappler Angler,WATER,1,Warrior,100,100,16632144
13400,Mahjong Munia Maidens,WIND,2,Winged Beast,200,2000,53620899
13401,D.D. Seeker,DARK,3,Psychic,1500,800,89015998
13402,Ghost Bird of Bewitchment,DARK,4,Winged Beast,1300,1500,15419596
13403,Desmanian Devil,EARTH,4,Beast,1700,1400,42908201
13404,Wattkinetic Puppeteer,LIGHT,4,Psychic,1800,0,88392300
13405,Inspector Boarder,LIGHT,4,Machine,2000,2000,15397015
13406,Overtex Qoatlus,DARK,7,Dinosaur,2700,2100,41782653
13407,"Contact ""C""",EARTH,6,Insect,1500,2200,87170768
13408,Zombino,EARTH,4,Zombie,2000,0,14575467
13453,Fire Opal Head,FIRE,6,Dinosaur,2500,1000,28363749
13459,Subterror Guru,EARTH,4,Dragon,1600,1800,16428514
13462,Odd-Eyes Revolution Dragon,LIGHT,12,Dragon,-1,-1,16306932
13463,Altergeist Multifaker,DARK,3,Spellcaster,1200,800,42790071
13464,Millennium-Eyes Illusionist,DARK,2,Spellcaster,0,1400,89785779
13465,Illusionist Faceless Magician,DARK,5,Spellcaster,1200,2200,15173384
13468,Parasite Paranoid,EARTH,2,Insect,500,300,14457896
13469,Metamorphosed Insect Queen,EARTH,7,Insect,2800,2400,41456841
13472,BM-4 Blast Spider,DARK,4,Machine,1400,2200,40634253
13473,Desperado Barrel Dragon,DARK,8,Machine,2800,2200,76728962
13480,Ancient Gear Frame,EARTH,4,Machine,1600,500,1278431
13511,Formud Skipper,LIGHT,1,Cyberse,0,0,50366775
13518,Datacorn,DARK,1,Cyberse,0,0,84816244
13519,Garbage Collector,WIND,2,Cyberse,100,1900,11801343
13520,Sea Archiver,WATER,3,Cyberse,300,2100,53309998
13521,Flame Bufferlo,FIRE,3,Cyberse,1400,200,80794697
13522,Lady Debug,LIGHT,4,Cyberse,1700,1400,16188701
13523,Antialian,EARTH,4,Cyberse,1900,600,43583400
13524,Storm Cipher,DARK,4,Cyberse,2400,0,89571015
13525,Segmental Dragon,LIGHT,7,Cyberse,2600,2400,15066114
13532,Yoko-Zuna Sumo Spirit,WIND,5,Warrior,2400,1000,40516623
13533,Kuro-Obi Karate Spirit,WIND,5,Warrior,2400,1000,77511331
13534,Vendread Battlelord,DARK,7,Zombie,2700,0,3909436
13535,Vendread Core,DARK,1,Zombie,0,500,49394035
13538,F.A. Auto Navigator,WIND,1,Machine,0,0,39271553
13552,Photon Advancer,LIGHT,4,Warrior,1000,1000,98881931
13555,Trickstar Corobane,LIGHT,5,Fairy,2000,1000,98169343
13556,Protron,EARTH,1,Cyberse,100,100,24154052
13557,Prompthorn,DARK,1,Cyberse,200,400,50548657
13558,Backup Operator,LIGHT,3,Cyberse,1200,800,97947705
13559,Link Streamer,LIGHT,4,Cyberse,1600,1800,23331400
13560,Degrade Buster,FIRE,7,Cyberse,2500,2500,50426119
13561,Trickstar Nightshade,LIGHT,1,Fairy,100,0,86825114
13562,Trickstar Mandrake,LIGHT,2,Fairy,0,1000,22219822
13563,Trickstar Rhodode,LIGHT,4,Fairy,1400,1900,59604521
13564,Gouki Octostretch,EARTH,1,Warrior,0,0,85008676
13565,Gouki Bearhug,EARTH,6,Warrior,2400,0,12097275
13566,Defrag Dragon,DARK,3,Dragon,1000,600,58582979
13567,Background Dragon,DARK,5,Dragon,1600,1800,84976088
13568,Tindangle Trinity,DARK,4,Fiend,0,1500,11375683
13569,Altergeist Pixiel,WIND,1,Spellcaster,100,100,57769391
13570,Mekk-Knight Avram,LIGHT,4,Psychic,2000,0,84754430
13571,Knightmare Corruptor Iblee,DARK,2,Cyberse,0,0,10158145
13572,"World Legacy - ""World Lance""",DARK,8,Machine,3000,0,46647144
13573,Elementsaber Aina,EARTH,2,Warrior,900,1800,83032858
13574,Elementsaber Makani,WIND,2,Warrior,1300,1200,19036557
13575,Elementsaber Nalu,WATER,3,Warrior,1500,1000,46425662
13576,Elementsaber Malo,FIRE,3,Warrior,1700,200,72819261
13577,Elementsaber Lapauila,LIGHT,4,Warrior,400,2100,18214905
13578,Elementsaber Molehu,DARK,4,Warrior,1900,0,45702014
13579,Elementsaber Lapauila Mana,LIGHT,6,Warrior,2400,2100,71797713
13580,Phosphorage the Elemental Lord,LIGHT,8,Fairy,2800,2200,8192327
13581,Batteryman Solar,LIGHT,4,Thunder,1500,1500,44586426
13582,Watch Cat,EARTH,1,Beast,0,1800,70975131
13583,Trancefamiliar,DARK,1,Psychic,0,0,7969770
13584,Three Trolling Trolls,WATER,3,Beast-Warrior,1000,1300,43464884
13585,Yajiro Invader,DARK,5,Reptile,2200,0,10852583
13586,Iron Dragon Tiamaton,DARK,4,Dragon,2000,0,46247282
13587,Ghost Belle & Haunted Mansion,EARTH,3,Zombie,0,1800,73642296
13588,Red Hared Hasty Horse,WIND,5,Beast,2000,1800,19636995
13589,Boycotton,EARTH,4,Plant,1000,2500,45025640
13638,Elemental HERO Solid Soldier,EARTH,4,Warrior,1300,1100,45195443
13639,Goddess of Sweet Revenge,LIGHT,6,Fairy,1800,2000,72589042
13640,The King of D.,DARK,4,Spellcaster,1200,1100,8978197
13644,Vampire Familiar,DARK,1,Zombie,500,0,34250214
13645,Vampire Retainer,DARK,2,Zombie,1200,0,70645913
13646,Vampire Fraulein,DARK,5,Zombie,600,2000,6039967
13647,Vampire Grimson,DARK,5,Zombie,2000,1400,33438666
13648,Vampire Scarlet Scourge,DARK,6,Zombie,2200,2200,79523365
13649,Vampire Red Baron,DARK,6,Zombie,2400,1000,6917479
13655,"Donpa, Marksman Fur Hire",WIND,2,Beast,500,1000,94073244
13656,"Recon, Scout Fur Hire",WIND,2,Beast,1000,500,31467949
13657,"Helmer, Helmsman Fur Hire",WATER,3,Aqua,0,2000,67466547
13658,"Beat, Bladesman Fur Hire",EARTH,3,Warrior,1200,500,93850652
13659,"Seal, Strategist Fur Hire",DARK,4,Beast-Warrior,1600,1000,20345391
13660,"Bravo, Fighter Fur Hire",FIRE,4,Reptile,1900,200,66740005
13661,"Sagitta, Maverick Fur Hire",WIND,5,Winged Beast,1200,2400,93738004
13662,"Dyna, Hero Fur Hire",EARTH,6,Beast-Warrior,2500,1400,25123713
13663,"Wiz, Sage Fur Hire",WATER,7,Spellcaster,1600,2800,1527418
13664,"Rafale, Champion Fur Hire",LIGHT,8,Dragon,2800,2200,38916526
